# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:53:27.314
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.825582,6.9190,-10.7770,-10.1580,16.35
2.846170,8.9960,-13.1030,-16.6390,23.01
2.846246,7.5130,-9.7320,-21.4980,24.77
2.867722,7.6690,-5.0900,-26.7910,28.33
2.868053,8.7670,2.4890,-30.6510,31.98
2.894254,9.7120,8.6130,-31.6200,34.18
2.912924,20.6820,5.2640,-19.1430,28.67
2.928031,22.3220,17.2020,11.8070,30.55
2.928109,22.7800,18.8260,13.1580,32.35
2.948154,15.8160,12.6510,5.2550,20.92
2.948252,-0.0150,12.2660,-0.1950,12.27
2.969061,-14.8520,14.5130,-1.7210,20.84
2.969133,-22.2790,14.6960,-1.1470,26.71
2.994961,-24.5560,13.4920,-0.2160,28.02
3.010111,-19.7190,7.7010,0.1960,21.17
3.031137,-13.8900,2.1900,1.4930,14.14
3.031344,-11.7610,1.4990,2.8700,12.20
3.051334,-9.6380,1.6900,4.0010,10.57
3.051482,-7.2890,1.9340,4.4880,8.78
3.078643,-5.2070,1.6390,4.5250,7.09
3.094472,-2.2580,-0.2130,4.0720,4.66
3.112817,-1.1300,-1.9700,4.2230,4.79
3.112918,-1.1380,-2.6220,4.5120,5.34
3.131801,-1.4290,-2.9820,5.0620,6.05
3.131982,-1.8400,-2.9740,5.5700,6.58
3.151287,-2.4160,-2.8420,5.6490,6.77
3.151485,-2.9290,-2.6150,5.3620,6.65
3.177016,-2.9930,-2.2410,4.9010,6.16
3.177165,-2.7640,-1.8500,4.7110,5.77
3.193822,-2.4920,-1.6330,4.4640,5.37
3.194019,-2.2790,-1.7320,4.2320,5.11
3.213982,-1.8960,-2.2910,4.0390,5.02
3.214187,-1.3980,-3.1120,4.0990,5.33
3.234717,-0.6950,-3.6600,4.4860,5.83
3.235362,-0.1480,-3.5620,4.9480,6.10
3.260150,0.0030,-3.1230,5.4010,6.24
3.278852,0.1310,-3.2350,6.7100,7.45
3.295685,-0.7580,-3.2280,9.0850,9.67
3.295878,-0.2940,-3.1470,9.9610,10.45
3.317018,0.3770,-3.3090,10.2080,10.74
3.317969,1.6270,-3.4690,9.4420,10.19
3.343798,3.4850,-4.0260,7.2360,8.98
3.361514,7.9680,-5.1540,0.5310,9.50
3.377507,11.6960,-5.9190,-6.3210,14.55
3.377728,11.2580,-4.9900,-6.5760,13.96
3.397905,10.1370,-4.8610,-5.6260,12.57
3.398148,8.8160,-5.4480,-4.7690,11.41
3.417976,6.9490,-6.2200,-4.6730,10.43
3.418153,5.0150,-7.1250,-5.6410,10.38
3.442809,3.4620,-7.7190,-6.9120,10.92
3.443018,2.7180,-7.7110,-7.8020,11.30
3.461580,1.8660,-5.7440,-7.1240,9.34
3.461817,3.6400,-6.7230,-7.4420,10.67
3.481231,4.6170,-6.9070,-7.2910,11.05
3.481516,5.5570,-4.1290,-8.2080,10.74
3.509119,6.2670,-1.0040,-9.7510,11.63
3.524921,5.4200,6.9030,-10.4340,13.63
3.543428,0.5700,11.1140,-8.3230,13.90
3.543583,-2.9700,11.1250,-6.1540,13.06
3.561157,-5.8790,10.3250,-4.8790,12.84
3.561347,-7.3900,9.8440,-4.8530,13.23
3.581919,-7.8770,10.2750,-5.1050,13.92
3.582193,-7.9220,11.1060,-4.8520,14.48
3.608931,-7.9560,11.3210,-3.7850,14.35
3.609086,-7.8070,10.7410,-2.5440,13.52
3.624665,-7.4720,9.8530,-1.3800,12.44
3.624852,-7.3560,8.7040,0.0220,11.40
3.642302,-7.2890,7.3210,1.3690,10.42
