# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.211753,-0.0070,0.0170,-0.0100,0.02
2.211911,0.0150,-0.0140,0.0000,0.02
2.233070,-0.0100,0.0050,-0.0030,0.01
2.233279,-0.0060,0.0020,-0.0060,0.01
2.261046,0.0020,-0.0030,0.0160,0.02
2.278949,-0.0060,0.0140,0.0120,0.02
2.294109,0.5760,-0.1950,0.0320,0.61
2.294373,-0.6090,0.5620,0.1450,0.84
2.313876,-1.1460,0.3900,0.1560,1.22
2.313988,-0.4710,-0.2010,-0.1450,0.53
2.335047,0.0630,-0.1240,-0.3970,0.42
2.335285,0.2080,0.1600,0.0280,0.26
2.362096,0.2120,-0.0470,0.3600,0.42
2.378340,-0.3800,0.0450,-0.0480,0.39
2.394419,-0.0490,-0.0630,-0.2520,0.26
2.394577,-0.5350,0.2490,0.0410,0.59
2.415404,1.2430,-0.5710,0.3270,1.41
2.415629,1.0000,-0.2690,0.0660,1.04
2.443713,-0.9230,0.6050,0.0990,1.11
2.461589,0.1050,-0.0390,-0.2220,0.25
2.477289,-0.2280,0.1190,0.1310,0.29
2.477495,-0.0250,-0.1430,0.0550,0.16
2.497631,0.0630,0.0050,-0.1180,0.13
2.497863,0.0160,0.0810,-0.0080,0.08
2.517754,-0.0530,-0.0020,0.0500,0.07
2.517946,-0.1690,0.0530,0.0500,0.18
2.544821,0.0800,-0.0850,-0.0490,0.13
2.561141,-0.0080,0.0410,0.0430,0.06
2.578715,-0.1420,-0.0300,0.0740,0.16
2.578901,-0.1810,0.0400,-0.0580,0.19
2.600208,-0.0910,0.0570,-0.0910,0.14
2.600412,-0.0630,0.0090,0.0130,0.06
2.626434,-0.0010,-0.0170,0.0270,0.03
2.643731,-0.0180,-0.0030,-0.1990,0.20
2.660511,0.1590,0.0760,0.0810,0.19
2.660664,0.1790,0.0340,0.2080,0.28
2.680823,0.0300,0.0250,0.0760,0.09
2.681024,-0.0310,0.1450,-0.1470,0.21
2.701611,0.2000,0.2210,0.0210,0.30
2.701835,0.2580,0.1270,0.1070,0.31
2.724986,0.1660,0.0760,0.0380,0.19
2.725142,0.1730,0.0190,0.0010,0.17
2.743588,0.1060,-0.1790,0.0070,0.21
2.743755,0.0940,-0.3900,-0.0070,0.40
2.762414,0.1980,-0.5940,0.1010,0.63
2.762989,0.1680,-0.5550,0.2470,0.63
2.783787,-0.1080,-0.3790,0.3970,0.56
2.783958,-0.3430,-0.1350,0.5390,0.65
2.808540,-0.4240,-0.1750,0.7050,0.84
2.826595,-0.3900,-0.4600,0.8070,1.01
2.844943,-0.4010,-0.7890,0.8890,1.25
2.845097,-0.6770,-0.9440,1.1820,1.66
2.865538,-1.0030,-1.0360,1.5100,2.09
2.865746,-1.2030,-1.2640,1.8630,2.55
2.892697,-1.3240,-1.2310,2.2400,2.88
2.910395,-1.5700,-0.6640,2.8280,3.30
2.926491,-1.3250,-0.1700,1.9170,2.34
2.926659,-0.9480,-0.1300,1.0660,1.43
2.945453,-0.5440,-0.1060,0.1340,0.57
2.945647,-0.2510,0.0680,-0.6290,0.68
2.965596,-0.0940,0.2090,-1.1740,1.20
2.965803,-0.0810,0.4220,-1.4520,1.51
2.992678,-0.1790,0.6340,-1.5330,1.67
2.992867,-0.4350,0.8390,-1.4600,1.74
3.010106,-0.7250,0.8090,-1.2310,1.64
3.010309,-0.9490,0.6720,-0.9310,1.49
3.027909,-1.0180,0.4280,-0.7240,1.32
3.028049,-0.8510,0.2870,-0.5410,1.05
3.048827,-0.4560,0.2100,-0.4670,0.69
3.049081,-0.3480,-0.1320,-0.7200,0.81
3.075855,-0.1860,-0.2510,-0.8250,0.88
3.093576,-0.3180,-0.2170,-1.2660,1.32
3.110514,-0.4790,0.0820,-1.2250,1.32
3.110595,-0.3120,0.2920,-1.0600,1.14
3.129390,-0.1650,0.2260,-0.9800,1.02
3.129495,-0.0690,0.3200,-0.9090,0.97
3.149573,0.1600,0.3960,-0.8860,0.98
3.149673,0.3100,0.5430,-0.8660,1.07
3.173327,0.3110,0.7290,-0.8700,1.18
3.173428,0.3790,0.6500,-0.9050,1.18
3.190880,0.5390,0.5890,-0.9840,1.27
3.190978,0.8580,0.5020,-1.1070,1.49
3.211910,1.0690,0.5990,-1.2550,1.75
3.212125,1.1790,0.7390,-1.3200,1.92
